skill,course_name,platform,url,description
"Python","The Complete Python Bootcamp From Zero to Hero","Udemy","https://www.udemy.com/course/complete-python-bootcamp/","Learn Python like a Professional. Start from the basics and go all the way to creating your own applications and games."
"Web Development","The Complete 2023 Web Development Bootcamp","Udemy","https://www.udemy.com/course/the-complete-web-development-bootcamp/","Become a Full-Stack Web Developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more."
"Machine Learning","Machine Learning A-Z: AI, Python & R","Udemy","https://www.udemy.com/course/machinelearning/","Learn to create Machine Learning Algorithms in Python and R from two Data Science experts."
"AWS","Ultimate AWS Certified Solutions Architect Associate","Udemy","https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/","Full Practice Exam included. Pass the AWS Certified Solutions Architect Associate Certification."
"Excel","Microsoft Excel - Excel from Beginner to Advanced","Udemy","https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/","Master Excel Functions, Formulate for Success and Work Smarter with Microsoft Excel."
"React","React - The Complete Guide (incl Hooks, React Router, Redux)","Udemy","https://www.udemy.com/course/react-the-complete-guide-incl-redux/","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!"
"Java","Java Programming Masterclass updated to Java 17","Udemy","https://www.udemy.com/course/java-the-complete-java-developer-course/","Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification."
"Ethical Hacking","Learn Ethical Hacking From Scratch","Udemy","https://www.udemy.com/course/learn-ethical-hacking-from-scratch/","Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts."
"SQL","The Complete SQL Bootcamp 2023: Go from Zero to Hero","Udemy","https://www.udemy.com/course/the-complete-sql-bootcamp/","Learn SQL for data analysis. PostgreSQL, MySQL, SQL Server and more."
"JavaScript","The Complete JavaScript Course 2023: From Zero to Expert!","Udemy","https://www.udemy.com/course/the-complete-javascript-course/","The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory."
"Data Science","The Data Science Course 2023: Complete Data Science Bootcamp","Udemy","https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning."
"Digital Marketing","The Complete Digital Marketing Course - 12 Courses in 1","Udemy","https://www.udemy.com/course/learn-digital-marketing-course/","Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!"
"Graphic Design","Graphic Design Masterclass - Learn GREAT Design","Udemy","https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/","The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign, Design Theory, Branding and Logo Design."
